2020-01-16 01:26:58 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:26:59 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:00 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-page-controller .shopee-icon-button--right]
2020-01-16 01:27:00 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:00 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:02 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-page-controller .shopee-icon-button--right]
2020-01-16 01:27:02 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:03 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:05 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:27:06 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:06 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:07 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:08 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:27:08 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:09 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:10 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:11 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:27:11 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:12 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:13 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-page-controller .shopee-icon-button--left]
2020-01-16 01:27:13 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:14 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:15 INFO  Log:12 - Pass : Element Scroll by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:15 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .shopee-search-item-result__item div span:nth-child(2)._341bF0]
2020-01-16 01:27:15 INFO  Log:12 - Pass : Element clicked by JS - [[SafariDriver: Safari on MAC (B5CCEF0A-1E72-4C69-909A-81107A343BD2)] -> css selector: .crl7WW button[class='product-variation']]
2020-01-16 01:27:15 INFO  LocalWebDriverListener:78 - Renaming test method name from: 'feature' to: 'Tests Safari browser - feature - Safari v:13.0.4 MAC'
2020-01-16 01:27:16 WARN  LocalWebDriverListener:62 - Creating the Driver!!!
